['2024-12-17 17:24:44.843612', {'0x433b0b38': 1}]
['2024-12-17 17:24:44.849911', {'0x433b0b38': 2}]
['2024-12-17 17:24:44.855659', {'0x433b0b38': 2, '0x336918e8': 1}]
['2024-12-17 17:24:44.860353', {'0x433b0b38': 2, '0x336918e8': 1, '0x433aca0c': 1}]
['2024-12-17 17:24:44.873471', {'0x433b0b38': 3, '0x336918e8': 1, '0x433aca0c': 1}]
['2024-12-17 17:24:44.904714', {'0x433b0b38': 4, '0x336918e8': 1, '0x433aca0c': 1}]
['2024-12-17 17:24:44.933206', {'0x433b0b38': 4, '0x336918e8': 2, '0x433aca0c': 1}]
['2024-12-17 17:24:44.958891', {'0x433b0b38': 4, '0x336918e8': 2, '0x433aca0c': 2}]
['2024-12-17 17:24:44.988268', {'0x433b0b38': 5, '0x336918e8': 2, '0x433aca0c': 2}]
['2024-12-17 17:24:45.015719', {'0x433b0b38': 6, '0x336918e8': 2, '0x433aca0c': 2}]
['2024-12-17 17:24:45.045960', {'0x433b0b38': 7, '0x336918e8': 2, '0x433aca0c': 2}]
['2024-12-17 17:24:45.075721', {'0x433b0b38': 8, '0x336918e8': 2, '0x433aca0c': 2}]
['2024-12-17 17:24:45.103294', {'0x433b0b38': 8, '0x336918e8': 3, '0x433aca0c': 2}]
['2024-12-17 17:24:46.934080', {'0x433b0b38': 8, '0x336918e8': 3, '0x433aca0c': 3}]
['2024-12-17 17:25:20.285096', {'0x433b0b38': 9, '0x336918e8': 3, '0x433aca0c': 3}]
['2024-12-17 17:25:37.069846', {'0x433b0b38': 9, '0x336918e8': 3, '0x433aca0c': 3, '0x43590ff4': 1}]
['2024-12-17 17:25:40.066982', {'0x433b0b38': 10, '0x336918e8': 3, '0x433aca0c': 3, '0x43590ff4': 1}]
['2024-12-17 17:25:44.546261', {'0x433b0b38': 10, '0x336918e8': 4, '0x433aca0c': 3, '0x43590ff4': 1}]
['2024-12-17 17:25:47.110183', {'0x433b0b38': 10, '0x336918e8': 4, '0x433aca0c': 4, '0x43590ff4': 1}]
['2024-12-17 17:26:20.022998', {'0x433b0b38': 11, '0x336918e8': 4, '0x433aca0c': 4, '0x43590ff4': 1}]
['2024-12-17 17:26:37.049849', {'0x433b0b38': 11, '0x336918e8': 4, '0x433aca0c': 4, '0x43590ff4': 2}]
['2024-12-17 17:26:40.030793', {'0x433b0b38': 12, '0x336918e8': 4, '0x433aca0c': 4, '0x43590ff4': 2}]
['2024-12-17 17:26:44.129878', {'0x433b0b38': 12, '0x336918e8': 5, '0x433aca0c': 4, '0x43590ff4': 2}]
['2024-12-17 17:26:47.751937', {'0x433b0b38': 12, '0x336918e8': 5, '0x433aca0c': 5, '0x43590ff4': 2}]
['2024-12-17 17:27:20.252063', {'0x433b0b38': 13, '0x336918e8': 5, '0x433aca0c': 5, '0x43590ff4': 2}]
['2024-12-17 17:27:37.045323', {'0x433b0b38': 13, '0x336918e8': 5, '0x433aca0c': 5, '0x43590ff4': 3}]
