datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 13:38:18.787182,0x433b0b38,26.110533,36.96373,1022.44763,139.05486,51,6.5,5,-13,5
2024-12-17 13:39:18.651154,0x433b0b38,26.143959,36.940987,1022.4839,139.9672,52,7.25,5,-13,5
2024-12-17 13:40:18.554213,0x433b0b38,26.172241,36.918663,1022.4876,139.8525,51,7.5,5,-14,5
2024-12-17 13:41:18.621264,0x433b0b38,26.200525,36.847008,1022.5014,140.89157,50,6.75,5,-14,5
2024-12-17 13:42:18.567414,0x433b0b38,26.215952,36.811348,1022.483,140.19716,52,7.0,5,-13,5
2024-12-17 13:43:18.738249,0x433b0b38,26.241667,36.86298,1022.4858,140.31242,52,6.5,5,-14,5
2024-12-17 13:44:18.616512,0x433b0b38,26.267378,36.84969,1022.48846,140.77536,50,6.5,5,-15,5
2024-12-17 13:44:43.825018,0x433aca0c,26.39449,35.397835,1022.93555,228.52548,61,6.0,3,-7,3
2024-12-17 13:45:18.673336,0x433b0b38,26.31109,36.892338,1022.51733,141.00798,50,7.25,5,-14,5
2024-12-17 13:46:18.919695,0x433b0b38,26.336802,36.96126,1022.5067,137.3759,66,7.5,5,-14,5
2024-12-17 13:47:18.771597,0x433b0b38,26.380512,36.853634,1022.5272,140.77536,50,5.75,5,-13,5
2024-12-17 13:48:18.732814,0x433b0b38,26.401085,36.866684,1022.5411,140.65935,50,7.25,5,-14,5
2024-12-17 13:49:18.713593,0x433b0b38,26.431938,36.898724,1022.53937,140.54352,52,6.25,5,-14,5
2024-12-17 13:50:18.748793,0x433b0b38,26.470509,36.912735,1022.5291,141.71048,50,6.5,5,-15,5
2024-12-17 13:51:18.772734,0x433b0b38,26.49365,36.808144,1022.5425,141.47554,50,6.0,5,-15,5
2024-12-17 13:52:18.978715,0x433b0b38,26.519361,36.816784,1022.5267,142.06438,50,6.75,5,-15,5
2024-12-17 13:53:18.797775,0x433b0b38,26.547646,36.78513,1022.52545,141.82825,51,6.5,5,-14,5
2024-12-17 13:54:18.815940,0x433b0b38,26.565643,36.75589,1022.5182,141.59293,53,7.0,5,-13,5
2024-12-17 13:55:18.832270,0x433b0b38,26.5785,36.76974,1022.5153,140.31242,66,6.5,5,-14,5
2024-12-17 13:56:18.860646,0x433b0b38,26.606785,36.712727,1022.5107,141.71048,52,6.25,5,-14,5
2024-12-17 13:57:18.929055,0x433b0b38,26.611927,36.696934,1022.51465,143.61852,48,7.0,5,-14,5
2024-12-17 13:58:18.958401,0x433b0b38,26.635069,36.697514,1022.50616,143.3772,53,6.5,5,-14,5
2024-12-17 13:59:19.002442,0x433b0b38,26.647926,36.620186,1022.5267,142.77747,55,6.25,5,-13,5
2024-12-17 14:00:19.500206,0x433b0b38,26.673637,36.633244,1022.5378,142.53897,55,6.5,5,-13,5
2024-12-17 14:01:19.135010,0x433b0b38,26.691635,36.585495,1022.5439,143.3772,50,7.25,5,-15,5
2024-12-17 14:02:19.016139,0x433b0b38,26.709635,36.575146,1022.5331,142.30128,54,6.25,5,-14,5
2024-12-17 14:02:44.555258,0x433aca0c,27.505503,33.77527,1022.9629,220.44849,81,6.25,3,-7,3
2024-12-17 14:03:19.051578,0x433b0b38,26.725212,36.53341,1022.52313,142.65813,52,6.25,5,-14,5
2024-12-17 14:04:19.025564,0x433b0b38,26.743176,36.507324,1022.51227,143.86064,53,6.25,5,-15,5
2024-12-17 14:05:19.249895,0x433b0b38,26.745634,36.562008,1022.52185,140.54352,69,6.75,5,-14,5
2024-12-17 14:06:19.096870,0x433b0b38,26.76889,36.484264,1022.5116,142.30128,56,6.75,5,-14,5
2024-12-17 14:07:19.197107,0x433b0b38,26.786848,36.478622,1022.5277,144.34732,53,7.25,5,-14,5
2024-12-17 14:08:19.105406,0x433b0b38,26.8022,36.501972,1022.52094,143.01677,54,6.75,5,-14,5
2024-12-17 14:09:19.129417,0x433b0b38,26.821856,36.38162,1022.51965,143.61852,54,6.5,5,-14,5
2024-12-17 14:10:19.138665,0x433b0b38,26.830448,36.352085,1022.5129,146.07703,50,6.25,5,-14,5
2024-12-17 14:11:19.141822,0x433b0b38,26.85113,36.28306,1022.5034,145.45454,53,7.5,5,-14,5
2024-12-17 14:12:19.200853,0x433b0b38,26.861338,36.249863,1022.47266,145.08359,57,7.0,5,-14,5
2024-12-17 14:13:19.164727,0x433b0b38,26.876768,36.214146,1022.4608,144.10358,53,7.25,5,-13,5
2024-12-17 14:14:19.195027,0x433b0b38,26.883911,36.218124,1022.4657,142.30128,68,7.75,5,-14,5
2024-12-17 14:15:19.234144,0x433b0b38,26.907772,36.17458,1022.4607,144.96036,58,6.0,5,-13,5
2024-12-17 14:16:19.387144,0x433b0b38,26.930878,36.141136,1022.4588,144.34732,56,6.0,5,-18,5
2024-12-17 14:17:19.243250,0x433b0b38,26.912914,36.286972,1022.4175,140.19716,78,5.75,5,-13,5
2024-12-17 14:18:19.254333,0x433b0b38,26.95398,36.101566,1022.4351,144.34732,63,7.0,5,-13,5
2024-12-17 14:19:19.272640,0x433b0b38,26.987106,36.03153,1022.4043,144.71454,60,6.0,5,-13,5
2024-12-17 14:20:19.875510,0x433b0b38,26.997618,35.996174,1022.3935,145.9521,55,6.25,5,-14,5
2024-12-17 14:20:44.439364,0x433aca0c,27.199316,34.166885,1022.86615,229.15913,55,5.75,3,-7,3
2024-12-17 14:21:19.298680,0x433b0b38,27.000187,35.91104,1022.3845,146.4531,54,6.75,5,-14,5
2024-12-17 14:22:19.862760,0x433b0b38,26.996704,35.898346,1022.35144,142.18274,68,6.75,5,-14,5
2024-12-17 14:23:19.337814,0x433b0b38,27.000301,35.832375,1022.3308,146.07703,56,6.75,5,-13,5
2024-12-17 14:24:19.362873,0x433b0b38,26.982225,35.84528,1022.30804,146.70488,57,5.75,5,-13,5
2024-12-17 14:25:19.367997,0x433b0b38,26.964191,35.87676,1022.2952,143.86064,60,7.0,5,-14,5
2024-12-17 14:26:19.383976,0x433b0b38,26.94105,35.833473,1022.27875,145.33069,56,6.25,5,-14,5
2024-12-17 14:27:19.456279,0x433b0b38,26.907736,35.862602,1022.2644,148.23393,51,7.0,5,-13,5
2024-12-17 14:28:19.421262,0x433b0b38,26.90248,35.868057,1022.2673,145.70291,56,6.5,5,-14,5
2024-12-17 14:29:19.460359,0x433b0b38,26.90781,35.8306,1022.2644,146.70488,54,6.75,5,-14,5
2024-12-17 14:30:19.623321,0x433b0b38,26.918135,35.797268,1022.2754,146.32751,56,7.0,5,-15,5
2024-12-17 14:31:19.498627,0x433b0b38,26.861338,36.07421,1022.28143,140.54352,68,7.0,5,-14,5
2024-12-17 14:32:19.588767,0x433b0b38,26.897337,35.818565,1022.2833,148.75072,53,6.25,5,-14,5
2024-12-17 14:33:20.019746,0x433b0b38,26.884594,35.8712,1022.26105,146.57887,57,6.75,5,-14,5
2024-12-17 14:34:19.542739,0x433b0b38,26.900024,35.845715,1022.2358,146.32751,56,6.75,5,-14,5
2024-12-17 14:35:19.585711,0x433b0b38,26.915337,35.795967,1022.24084,148.88048,53,7.25,5,-13,5
2024-12-17 14:36:19.642930,0x433b0b38,26.904825,35.78297,1022.2147,148.88048,52,6.25,5,-15,5
2024-12-17 14:37:19.609052,0x433b0b38,26.90781,35.783405,1022.1738,147.97687,52,6.25,5,-15,5
