datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 18:08:26.606501,0x336918e8,,,,,,,6.0,-25,5,5
2024-12-17 18:08:26.627778,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:08:26.655757,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 18:08:26.713656,0x336918e8,,,,,,,6.25,-24,5,5
2024-12-17 18:08:26.740743,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:08:30.486783,0x433b0b38,,,,,,,5.75,-19,5,5
2024-12-17 18:08:50.697475,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 18:08:54.298452,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 18:09:30.935775,0x433b0b38,,,,,,,6.25,-19,5,5
2024-12-17 18:09:50.552512,0x336918e8,,,,,,,5.75,-23,5,5
2024-12-17 18:09:54.803833,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:10:30.454785,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 18:10:50.699542,0x336918e8,,,,,,,5.75,-23,5,5
2024-12-17 18:10:55.362878,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:11:31.129794,0x433b0b38,,,,,,,6.5,-20,5,5
2024-12-17 18:11:50.909439,0x336918e8,,,,,,,6.5,-24,5,5
2024-12-17 18:11:54.961716,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:12:30.871822,0x433b0b38,,,,,,,6.25,-19,5,5
2024-12-17 18:12:51.091519,0x336918e8,,,,,,,7.25,-23,5,5
2024-12-17 18:12:55.035756,0x433aca0c,,,,,,,6.0,-7,3,3
2024-12-17 18:13:31.702878,0x433b0b38,,,,,,,6.25,-19,5,5
2024-12-17 18:13:51.347683,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 18:13:55.323825,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:14:32.835988,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 18:14:51.426616,0x336918e8,,,,,,,6.5,-22,5,5
2024-12-17 18:14:55.401799,0x433aca0c,,,,,,,6.25,-7,3,3
2024-12-17 18:15:32.274153,0x433b0b38,,,,,,,6.5,-19,5,5
2024-12-17 18:15:51.713680,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 18:16:03.639103,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 18:16:31.795984,0x433b0b38,,,,,,,6.0,-18,5,5
2024-12-17 18:16:51.903832,0x336918e8,,,,,,,5.75,-22,5,5
2024-12-17 18:16:56.186896,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 18:17:32.582258,0x433b0b38,,,,,,,6.5,-19,5,5
2024-12-17 18:17:51.980736,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 18:17:56.006487,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 18:18:32.276965,0x433b0b38,,,,,,,5.5,-19,5,5
2024-12-17 18:18:52.267822,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 18:18:56.368832,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:19:33.816292,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 18:19:52.362811,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 18:19:56.559897,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:20:33.458160,0x433b0b38,,,,,,,6.0,-20,5,5
2024-12-17 18:20:52.515786,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 18:20:56.733885,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:21:32.954201,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 18:21:52.727854,0x336918e8,,,,,,,6.25,-21,5,5
2024-12-17 18:21:56.733040,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 18:22:33.223151,0x433b0b38,,,,,,,7.5,-19,5,5
2024-12-17 18:22:52.909752,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 18:22:57.019975,0x433aca0c,,,,,,,6.25,-6,3,3
