datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 19:34:51.342491,0x433b0b38,4.635,-2.5,7.5,-20,5,5
2024-12-17 19:39:52.269694,0x433b0b38,4.6125,-2.5,7.0,-20,5,5
2024-12-17 19:44:52.854669,0x433b0b38,4.7,-2.5,6.75,-19,5,5
2024-12-17 19:49:54.847986,0x433b0b38,4.69375,-3.75,7.5,-19,5,5
2024-12-17 19:54:55.198084,0x433b0b38,4.72875,-3.75,7.25,-20,5,5
2024-12-17 19:59:56.327184,0x433b0b38,4.73625,-2.5,6.5,-20,5,5
2024-12-17 20:04:57.486437,0x433b0b38,4.735,-3.75,7.25,-20,5,5
2024-12-17 20:09:58.652691,0x433b0b38,4.73375,-3.75,7.25,-20,5,5
2024-12-17 20:14:59.803166,0x433b0b38,4.69625,-3.75,7.25,-20,5,5
2024-12-17 20:20:01.649346,0x433b0b38,4.7,-3.75,7.0,-20,5,5
2024-12-17 20:25:02.173618,0x433b0b38,4.73375,-3.75,7.0,-20,5,5
2024-12-17 20:30:03.876926,0x433b0b38,4.73125,-3.75,6.5,-19,5,5
