datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 10:38:06.433558,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:39:06.524568,0x433aca0c,,,,,,,6.5,3,-5,3
2024-12-17 10:40:06.802347,0x433aca0c,,,,,,,6.5,3,-7,3
2024-12-17 10:41:07.089144,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:42:07.163957,0x433aca0c,,,,,,,6.5,3,-5,3
2024-12-17 10:43:07.268212,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:44:07.517955,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 10:45:07.734916,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:46:07.801884,0x433aca0c,,,,,,,5.75,3,-6,3
2024-12-17 10:47:07.969835,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 10:48:08.151704,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:49:08.421568,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:50:08.562516,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:51:08.707570,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:52:08.886656,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 10:53:09.077510,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 10:54:09.251402,0x433aca0c,,,,,,,6.25,3,-5,3
2024-12-17 10:55:09.435604,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:56:09.606430,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:57:09.787410,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 10:58:10.316632,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 10:59:10.150441,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:00:10.352386,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:01:10.549270,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 11:02:10.708319,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:03:10.899604,0x433aca0c,,,,,,,6.5,3,-7,3
2024-12-17 11:04:11.146309,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 11:05:11.407346,0x433aca0c,,,,,,,6.25,3,-5,3
2024-12-17 11:06:11.443442,0x433aca0c,,,,,,,6.25,3,-5,3
2024-12-17 11:07:11.605462,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:08:11.798472,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:09:11.980649,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:10:12.316534,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:11:12.601691,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:12:12.679684,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:13:12.861712,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:14:12.966696,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:15:13.070732,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:16:13.271750,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:17:13.422662,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:18:13.691760,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:19:13.797708,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 11:20:14.140852,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:21:14.161057,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:22:14.496782,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:23:14.533668,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:24:14.791815,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:25:14.891767,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:26:15.075745,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:27:15.336809,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:28:15.546802,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:29:15.651928,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:30:16.246703,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:31:15.976847,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:32:16.160884,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:33:16.496877,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:34:16.636832,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:35:16.706769,0x433aca0c,,,,,,,6.25,3,-5,3
2024-12-17 11:36:16.982817,0x433aca0c,,,,,,,5.5,3,-6,3
