datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 17:59:57.294920,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:00:28.150200,0x433b0b38,,,,,,,7.25,-17,5,5
2024-12-17 18:00:49.060672,0x336918e8,,,,,,,7.5,-23,5,5
2024-12-17 18:00:52.862196,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:01:28.902317,0x433b0b38,,,,,,,6.75,-16,5,5
2024-12-17 18:01:49.086078,0x336918e8,,,,,,,6.0,-25,5,5
2024-12-17 18:01:53.188172,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 18:02:28.564398,0x433b0b38,,,,,,,7.25,-16,5,5
2024-12-17 18:02:49.346292,0x336918e8,,,,,,,6.0,-24,5,5
2024-12-17 18:02:53.476182,0x433aca0c,,,,,,,6.25,-5,3,3
2024-12-17 18:03:29.371533,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 18:03:49.538309,0x336918e8,,,,,,,6.5,-23,5,5
2024-12-17 18:03:53.648250,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 18:04:29.984545,0x433b0b38,,,,,,,7.5,-17,5,5
2024-12-17 18:04:49.636094,0x336918e8,,,,,,,7.25,-23,5,5
2024-12-17 18:04:53.685280,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 18:05:29.837561,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 18:05:49.969303,0x336918e8,,,,,,,7.0,-23,5,5
2024-12-17 18:05:53.782375,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 18:06:29.496535,0x433b0b38,,,,,,,6.25,-17,5,5
