datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 16:52:31.240626,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 16:52:31.246277,0x336918e8,,,,,,,7.0,-23,5,5
2024-12-17 16:52:31.261598,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 16:52:31.271743,0x433b0b38,,,,,,,6.25,-17,5,5
2024-12-17 16:52:31.328791,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 16:52:31.386469,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:52:31.415233,0x433b0b38,,,,,,,6.75,-18,5,5
2024-12-17 16:52:31.441086,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 16:52:31.501462,0x433aca0c,,,,,,,6.5,-5,3,3
2024-12-17 16:52:31.527671,0x433b0b38,,,,,,,6.5,-19,5,5
2024-12-17 16:52:31.555339,0x336918e8,,,,,,,5.75,-22,5,5
2024-12-17 16:52:31.614188,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:52:31.640311,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 16:52:31.667798,0x336918e8,,,,,,,6.0,-21,5,5
2024-12-17 16:52:31.725430,0x433aca0c,,,,,,,6.5,-5,3,3
2024-12-17 16:52:31.753721,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 16:52:31.810733,0x336918e8,,,,,,,6.5,-22,5,5
2024-12-17 16:52:31.869551,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 16:52:31.896410,0x433b0b38,,,,,,,6.5,-19,5,5
2024-12-17 16:52:31.952516,0x336918e8,,,,,,,6.75,-25,5,5
2024-12-17 16:52:32.010849,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:52:32.038043,0x433b0b38,,,,,,,7.5,-20,5,5
2024-12-17 16:52:35.924377,0x336918e8,,,,,,,6.0,-24,5,5
2024-12-17 16:52:40.055557,0x433aca0c,,,,,,,6.0,-7,3,3
2024-12-17 16:53:12.826528,0x433b0b38,,,,,,,6.25,-19,5,5
2024-12-17 16:53:35.969298,0x336918e8,,,,,,,6.25,-24,5,5
2024-12-17 16:53:40.553523,0x433aca0c,,,,,,,6.25,-7,3,3
2024-12-17 16:54:13.043513,0x433b0b38,,,,,,,6.75,-19,5,5
2024-12-17 16:54:36.284304,0x336918e8,,,,,,,6.0,-25,5,5
2024-12-17 16:54:41.819594,0x433aca0c,,,,,,,6.25,-7,3,3
2024-12-17 16:55:13.371034,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 16:55:36.454393,0x336918e8,,,,,,,5.5,-25,5,5
2024-12-17 16:55:41.009688,0x433aca0c,,,,,,,6.0,-7,3,3
2024-12-17 16:56:13.347710,0x433b0b38,,,,,,,6.5,-20,5,5
2024-12-17 16:56:36.471025,0x336918e8,,,,,,,7.0,-26,5,5
2024-12-17 16:56:42.790188,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:57:13.286443,0x433b0b38,,,,,,,5.75,-19,5,5
2024-12-17 16:57:36.656236,0x336918e8,,,,,,,6.25,-26,5,5
2024-12-17 16:57:41.300627,0x433aca0c,,,,,,,6.5,-7,3,3
2024-12-17 16:58:13.517768,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 16:58:36.825258,0x336918e8,,,,,,,7.5,-23,5,5
2024-12-17 16:58:41.201651,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:59:14.071547,0x433b0b38,,,,,,,6.5,-17,5,5
2024-12-17 16:59:37.107336,0x336918e8,,,,,,,6.5,-23,5,5
2024-12-17 16:59:40.893577,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 17:00:14.729682,0x433b0b38,,,,,,,6.75,-17,5,5
2024-12-17 17:00:37.352506,0x336918e8,,,,,,,6.0,-24,5,5
2024-12-17 17:00:41.843504,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 17:01:14.839871,0x433b0b38,,,,,,,7.75,-18,5,5
2024-12-17 17:01:37.389489,0x336918e8,,,,,,,7.0,-23,5,5
2024-12-17 17:01:41.530696,0x433aca0c,,,,,,,6.5,-7,3,3
2024-12-17 17:02:14.443692,0x433b0b38,,,,,,,8.25,-17,5,5
2024-12-17 17:02:37.719569,0x336918e8,,,,,,,6.25,-24,5,5
2024-12-17 17:02:42.276647,0x433aca0c,,,,,,,6.0,-7,3,3
2024-12-17 17:03:14.693818,0x433b0b38,,,,,,,7.0,-17,5,5
2024-12-17 17:03:37.832436,0x336918e8,,,,,,,6.25,-24,5,5
2024-12-17 17:03:42.238716,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 17:04:15.142803,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 17:04:37.937675,0x336918e8,,,,,,,6.25,-25,5,5
2024-12-17 17:04:43.208743,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 17:05:15.197850,0x433b0b38,,,,,,,6.0,-18,5,5
2024-12-17 17:05:38.188519,0x336918e8,,,,,,,6.25,-24,5,5
2024-12-17 17:05:42.694659,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 17:06:16.142779,0x433b0b38,,,,,,,6.0,-18,5,5
2024-12-17 17:06:45.100977,0x336918e8,,,,,,,6.0,-5,5,4
2024-12-17 17:06:46.994923,0x433aca0c,,,,,,,6.25,-5,3,3
2024-12-17 17:07:15.655781,0x433b0b38,,,,,,,5.75,-19,5,5
