datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 19:56:14.603584,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 19:56:55.315099,0x433b0b38,,,,,,,7.5,-20,5,5
2024-12-17 19:57:10.347458,0x336918e8,,,,,,,5.5,-22,5,5
2024-12-17 19:57:14.582787,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 19:57:55.545193,0x433b0b38,,,,,,,6.5,-20,5,5
2024-12-17 19:58:10.252614,0x336918e8,,,,,,,5.75,-23,5,5
2024-12-17 19:58:14.841769,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:58:55.818141,0x433b0b38,,,,,,,7.5,-20,5,5
2024-12-17 19:59:10.605792,0x336918e8,,,,,,,5.75,-22,5,5
2024-12-17 19:59:15.330870,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 19:59:56.875191,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 20:00:10.603613,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 20:00:15.032851,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:00:56.239083,0x433b0b38,,,,,,,7.0,-20,5,5
2024-12-17 20:01:10.795724,0x336918e8,,,,,,,5.75,-23,5,5
2024-12-17 20:01:15.302963,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:01:56.684180,0x433b0b38,,,,,,,6.5,-20,5,5
2024-12-17 20:02:10.996681,0x336918e8,,,,,,,6.5,-22,5,5
2024-12-17 20:02:15.396815,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:02:56.845250,0x433b0b38,,,,,,,7.25,-20,5,5
2024-12-17 20:03:11.151840,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 20:03:15.665850,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 20:03:57.214305,0x433b0b38,,,,,,,7.25,-20,5,5
2024-12-17 20:04:11.368881,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 20:04:16.114984,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:04:58.304356,0x433b0b38,,,,,,,7.25,-20,5,5
2024-12-17 20:05:11.619819,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 20:05:15.941931,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:05:57.446452,0x433b0b38,,,,,,,7.0,-20,5,5
2024-12-17 20:06:11.725037,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 20:06:20.260171,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 20:06:57.640396,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 20:07:11.983807,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 20:07:16.345083,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 20:07:57.871347,0x433b0b38,,,,,,,6.75,-19,5,5
2024-12-17 20:08:12.057775,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 20:08:16.517129,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:08:58.139395,0x433b0b38,,,,,,,6.75,-21,5,5
2024-12-17 20:09:12.242918,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 20:09:16.777157,0x433aca0c,,,,,,,6.25,-5,3,3
2024-12-17 20:09:59.349696,0x433b0b38,,,,,,,7.0,-19,5,5
2024-12-17 20:10:12.711037,0x336918e8,,,,,,,5.75,-23,5,5
2024-12-17 20:10:16.889871,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:10:58.725755,0x433b0b38,,,,,,,6.5,-21,5,5
2024-12-17 20:11:12.640071,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 20:11:17.140390,0x433aca0c,,,,,,,6.25,-5,3,3
2024-12-17 20:11:58.829768,0x433b0b38,,,,,,,7.5,-20,5,5
2024-12-17 20:12:12.787361,0x336918e8,,,,,,,6.5,-23,5,5
2024-12-17 20:12:17.253295,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 20:12:59.030746,0x433b0b38,,,,,,,7.25,-20,5,5
2024-12-17 20:13:12.998361,0x336918e8,,,,,,,6.75,-23,5,5
2024-12-17 20:13:17.581424,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:13:59.544938,0x433b0b38,,,,,,,6.0,-21,5,5
2024-12-17 20:14:13.150420,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 20:14:17.611629,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:15:00.278050,0x433b0b38,,,,,,,7.0,-19,5,5
2024-12-17 20:15:13.436519,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 20:15:17.788555,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:15:59.733970,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 20:16:13.618524,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 20:16:18.172657,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:16:59.954907,0x433b0b38,,,,,,,7.0,-20,5,5
2024-12-17 20:17:13.762527,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 20:17:18.319929,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:18:00.364170,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 20:18:13.887740,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 20:18:18.421706,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:19:00.446186,0x433b0b38,,,,,,,7.0,-19,5,5
2024-12-17 20:19:14.165767,0x336918e8,,,,,,,6.5,-23,5,5
2024-12-17 20:19:18.518781,0x433aca0c,,,,,,,6.25,-7,3,3
2024-12-17 20:20:00.918280,0x433b0b38,,,,,,,7.25,-20,5,5
2024-12-17 20:20:14.241640,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 20:20:18.688894,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:21:00.896451,0x433b0b38,,,,,,,6.25,-20,5,5
2024-12-17 20:21:14.461849,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 20:21:18.967830,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:22:01.239425,0x433b0b38,,,,,,,7.0,-20,5,5
2024-12-17 20:22:14.632881,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 20:22:19.061918,0x433aca0c,,,,,,,6.5,-5,3,3
2024-12-17 20:23:01.388356,0x433b0b38,,,,,,,6.5,-20,5,5
2024-12-17 20:23:14.891851,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 20:23:19.248095,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:24:01.631585,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 20:24:14.979908,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 20:24:19.424184,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 20:25:02.795609,0x433b0b38,,,,,,,7.0,-19,5,5
2024-12-17 20:25:15.178955,0x336918e8,,,,,,,7.0,-22,5,5
2024-12-17 20:25:19.606129,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:26:02.051526,0x433b0b38,,,,,,,7.0,-21,5,5
2024-12-17 20:26:15.335185,0x336918e8,,,,,,,5.75,-23,5,5
2024-12-17 20:26:19.791357,0x433aca0c,,,,,,,6.75,-6,3,3
2024-12-17 20:27:02.302605,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 20:27:15.542134,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 20:27:20.057408,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 20:28:02.524725,0x433b0b38,,,,,,,6.75,-20,5,5
2024-12-17 20:28:15.880111,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 20:28:20.307378,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 20:29:02.752775,0x433b0b38,,,,,,,7.0,-20,5,5
2024-12-17 20:29:15.908308,0x336918e8,,,,,,,6.75,-23,5,5
2024-12-17 20:29:20.413483,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:30:03.204776,0x433b0b38,,,,,,,7.0,-19,5,5
2024-12-17 20:30:16.079194,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 20:30:20.595501,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 20:31:03.210967,0x433b0b38,,,,,,,6.75,-20,5,5
