datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 16:17:03.958845,0x433b0b38,,,,,,,6.25,-17,5,5
2024-12-17 16:17:29.368582,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 16:17:32.879633,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:18:04.430215,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 16:18:29.755529,0x336918e8,,,,,,,6.5,-22,5,5
2024-12-17 16:18:34.467532,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:19:05.341306,0x433b0b38,,,,,,,6.75,-18,5,5
2024-12-17 16:19:29.894995,0x336918e8,,,,,,,6.0,-21,5,5
2024-12-17 16:19:34.278078,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:20:04.682970,0x433b0b38,,,,,,,6.0,-18,5,5
2024-12-17 16:20:30.000719,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 16:20:33.248904,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:21:04.883412,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 16:21:30.116120,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 16:21:33.419037,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:22:05.117343,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 16:22:30.452452,0x336918e8,,,,,,,5.75,-22,5,5
2024-12-17 16:22:33.154164,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:23:05.348249,0x433b0b38,,,,,,,6.5,-17,5,5
2024-12-17 16:23:30.662509,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 16:23:36.448295,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 16:24:06.679319,0x433b0b38,,,,,,,6.75,-17,5,5
2024-12-17 16:24:30.651031,0x336918e8,,,,,,,7.0,-23,5,5
2024-12-17 16:24:34.361609,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:25:05.810312,0x433b0b38,,,,,,,6.0,-17,5,5
2024-12-17 16:25:30.987526,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 16:25:34.873294,0x433aca0c,,,,,,,6.25,-7,3,3
2024-12-17 16:26:06.611546,0x433b0b38,,,,,,,7.5,-16,5,5
2024-12-17 16:26:31.006916,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 16:26:37.272488,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:27:06.283694,0x433b0b38,,,,,,,6.75,-17,5,5
2024-12-17 16:27:31.199561,0x336918e8,,,,,,,5.5,-21,5,5
2024-12-17 16:28:06.539029,0x433b0b38,,,,,,,6.5,-18,5,5
2024-12-17 16:28:31.378417,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 16:28:34.601068,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:29:07.896718,0x433b0b38,,,,,,,6.75,-17,5,5
2024-12-17 16:29:31.561529,0x336918e8,,,,,,,5.75,-22,5,5
2024-12-17 16:29:34.824842,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:30:07.665910,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 16:30:31.739515,0x336918e8,,,,,,,6.0,-22,5,5
2024-12-17 16:30:36.982854,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:31:07.201827,0x433b0b38,,,,,,,6.5,-18,5,5
2024-12-17 16:31:31.914992,0x336918e8,,,,,,,6.25,-22,5,5
2024-12-17 16:31:37.008218,0x433aca0c,,,,,,,6.0,-7,3,3
2024-12-17 16:32:07.958085,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 16:32:32.096979,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 16:32:35.723020,0x433aca0c,,,,,,,6.5,-7,3,3
2024-12-17 16:33:07.685983,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 16:33:32.278919,0x336918e8,,,,,,,6.5,-23,5,5
2024-12-17 16:33:37.210981,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:34:08.673105,0x433b0b38,,,,,,,6.5,-18,5,5
2024-12-17 16:34:32.466040,0x336918e8,,,,,,,6.0,-23,5,5
2024-12-17 16:34:36.870854,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:35:08.715139,0x433b0b38,,,,,,,6.5,-20,5,5
2024-12-17 16:35:32.730020,0x336918e8,,,,,,,6.0,-25,5,5
2024-12-17 16:35:41.292304,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:36:08.655170,0x433b0b38,,,,,,,6.0,-18,5,5
2024-12-17 16:36:32.912001,0x336918e8,,,,,,,6.0,-25,5,5
2024-12-17 16:36:37.920171,0x433aca0c,,,,,,,6.5,-6,3,3
2024-12-17 16:37:08.609167,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 16:37:33.019169,0x336918e8,,,,,,,6.25,-23,5,5
2024-12-17 16:37:37.125421,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:38:09.397240,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 16:38:33.286491,0x336918e8,,,,,,,6.25,-24,5,5
2024-12-17 16:38:37.438284,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:39:09.989944,0x433b0b38,,,,,,,6.75,-17,5,5
2024-12-17 16:39:33.382173,0x336918e8,,,,,,,6.5,-21,5,5
2024-12-17 16:39:37.504409,0x433aca0c,,,,,,,6.0,-5,3,3
2024-12-17 16:40:09.862248,0x433b0b38,,,,,,,6.5,-17,5,5
2024-12-17 16:40:33.552434,0x336918e8,,,,,,,6.25,-27,5,5
2024-12-17 16:40:37.714997,0x433aca0c,,,,,,,6.25,-6,3,3
2024-12-17 16:41:10.099157,0x433b0b38,,,,,,,6.0,-18,5,5
2024-12-17 16:41:33.821396,0x336918e8,,,,,,,7.0,-23,5,5
2024-12-17 16:41:40.916556,0x433aca0c,,,,,,,6.0,-6,3,3
2024-12-17 16:42:09.995983,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 16:42:34.144474,0x336918e8,,,,,,,7.0,-22,5,5
2024-12-17 16:42:39.281563,0x433aca0c,,,,,,,6.0,-6,3,3
