datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 18:00:41.001047,0x433b0b38,27.316456,34.535133,1022.5754,151.79366,60,,,6.25,-17,5,5
2024-12-17 18:01:41.021034,0x433b0b38,27.295883,34.541656,1022.5681,152.19977,58,,,6.5,-18,5,5
2024-12-17 18:02:41.004881,0x433b0b38,27.275314,34.56104,1022.5124,152.47171,56,,,6.5,-18,5,5
2024-12-17 18:03:40.998023,0x433b0b38,27.283028,34.533733,1022.519,150.9879,65,,,7.75,-17,5,5
2024-12-17 18:04:41.004292,0x433b0b38,27.262459,34.554054,1022.5219,151.79366,60,,,6.0,-18,5,5
2024-12-17 18:05:41.147347,0x433b0b38,27.254744,34.569004,1022.52374,152.06416,62,,,5.75,-17,5,5
