datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 18:31:06.079677,0x433b0b38,27.23429,34.360676,1022.4309,148.88048,76,,,6.0,-18,5,5
2024-12-17 18:31:06.189612,0x433b0b38,27.221317,34.398632,1022.3803,152.60805,64,,,7.25,-16,5,5
2024-12-17 18:31:41.566999,0x433b0b38,27.223284,34.38757,1022.3831,152.47171,61,,,8.0,-17,5,5
2024-12-17 18:32:41.563362,0x433b0b38,27.213339,34.386955,1022.4055,152.3356,62,,,6.5,-16,5,5
2024-12-17 18:33:41.636453,0x433b0b38,27.205208,34.38269,1022.4122,150.45549,63,,,7.0,-18,5,5
2024-12-17 18:34:41.641303,0x433b0b38,27.236214,34.33859,1022.5093,151.79366,63,,,6.0,-18,5,5
2024-12-17 18:35:41.610475,0x433b0b38,27.20105,34.3637,1022.4872,153.43121,59,,,7.75,-17,5,5
2024-12-17 18:36:42.141505,0x433b0b38,27.198364,34.362537,1022.51636,151.65877,69,,,6.0,-18,5,5
2024-12-17 18:37:41.685724,0x433b0b38,27.194767,34.37689,1022.5135,152.19977,65,,,6.0,-18,5,5
2024-12-17 18:38:41.692556,0x433b0b38,27.210882,34.35687,1022.495,150.58824,70,,,7.25,-17,5,5
2024-12-17 18:39:41.754527,0x433b0b38,27.234552,34.302902,1022.52826,151.25555,62,,,6.25,-17,5,5
2024-12-17 18:40:42.194653,0x433b0b38,27.2181,34.324203,1022.4278,153.43121,60,,,6.0,-18,5,5
2024-12-17 18:41:41.771706,0x433b0b38,27.20574,34.335094,1022.4139,151.79366,62,,,6.75,-17,5,5
2024-12-17 18:42:42.385815,0x433b0b38,27.19999,34.342304,1022.41504,153.84616,59,,,6.0,-18,5,5
2024-12-17 18:43:41.832797,0x433b0b38,27.192427,34.343636,1022.4185,153.29341,67,,,6.0,-20,5,5
2024-12-17 18:44:41.877911,0x433b0b38,27.185696,34.32855,1022.43195,153.15584,60,,,6.0,-19,5,5
