datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 17:24:44.848805,0x433b0b38,27.301025,34.727066,1022.49146,151.12161,61,,,6.0,-18,5,5
2024-12-17 17:24:44.904297,0x433b0b38,27.316456,34.711338,1022.5032,150.45549,64,,,7.5,-17,5,5
2024-12-17 17:24:45.075004,0x433b0b38,27.319025,34.70504,1022.48914,150.58824,63,,,6.0,-18,5,5
2024-12-17 17:25:40.066441,0x433b0b38,27.313883,34.71641,1022.4853,150.72122,65,,,7.5,-17,5,5
2024-12-17 17:26:40.030237,0x433b0b38,27.321598,34.7031,1022.4735,150.05861,66,,,6.5,-17,5,5
2024-12-17 17:27:40.106392,0x433b0b38,27.324167,34.681046,1022.4596,150.05861,66,,,6.0,-16,5,5
2024-12-17 17:28:40.071049,0x433b0b38,27.306168,34.713615,1022.44006,150.32295,66,,,6.5,-17,5,5
2024-12-17 17:29:40.551972,0x433b0b38,27.319025,34.680412,1022.4287,149.5327,74,,,6.25,-18,5,5
2024-12-17 17:30:42.001960,0x433b0b38,27.317392,34.70054,1022.41425,150.72122,66,,,6.25,-18,5,5
2024-12-17 17:31:40.273720,0x433b0b38,27.306168,34.704243,1022.4417,150.45549,65,,,6.0,-19,5,5
2024-12-17 17:32:40.466789,0x433b0b38,27.28817,34.703312,1022.4641,151.65877,62,,,7.0,-17,5,5
