datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 17:35:12.361527,0x433aca0c,78,3.972,10.433333,2.1047502,6.25,-6,3,3
2024-12-17 17:35:37.448280,0x43590ff4,101,4.234,8.655,2.0639167,,,,5
2024-12-17 17:36:22.321628,0x433b0b38,100,4.198,5.9300003,2.546028,7.25,-17,5,5
2024-12-17 17:36:37.473354,0x43590ff4,101,4.228,9.611667,2.088361,,,5,5
2024-12-17 17:37:37.600262,0x43590ff4,101,4.216,7.6566668,2.0938888,,,,5
2024-12-17 17:38:37.556973,0x43590ff4,101,4.24,8.531667,2.0938888,,,,5
2024-12-17 17:39:37.587059,0x43590ff4,101,4.207,10.35,2.1246943,,,,5
2024-12-17 17:40:37.746133,0x43590ff4,101,4.221,7.8050003,2.1125832,,,,5
2024-12-17 17:41:37.731978,0x43590ff4,101,4.215,6.2883334,2.1312778,,,,5
2024-12-17 17:42:23.075365,0x433b0b38,99,4.181,5.9300003,2.5295832,6.25,-19,5,5
2024-12-17 17:42:37.873897,0x43590ff4,100,4.2,6.383333,2.1433887,,,,5
2024-12-17 17:43:37.792689,0x43590ff4,100,4.19,4.44,2.1125832,,,,5
2024-12-17 17:44:37.821863,0x43590ff4,101,4.216,6.1633334,2.1312778,,,,5
2024-12-17 17:45:37.947671,0x43590ff4,100,4.194,4.44,2.1004722,,,,5
2024-12-17 17:46:37.979918,0x43590ff4,101,4.208,5.1666665,2.1004722,,,,5
2024-12-17 17:47:37.913699,0x43590ff4,101,4.223,3.66,2.1125832,,,,5
2024-12-17 17:48:22.966112,0x433b0b38,101,4.209,5.9566665,2.493472,7.0,-20,5,5
2024-12-17 17:48:38.109536,0x43590ff4,101,4.224,6.383333,2.1557224,,,,5
2024-12-17 17:49:38.127685,0x43590ff4,100,4.196,9.501667,2.2006667,,,,5
2024-12-17 17:50:38.139566,0x43590ff4,101,4.25,7.8050003,2.169861,,,,5
2024-12-17 17:51:38.077510,0x43590ff4,101,4.25,6.6566668,2.169861,,,,5
2024-12-17 17:52:38.117708,0x43590ff4,101,4.252,8.71,2.2052224,,,,5
2024-12-17 17:52:54.427108,0x433aca0c,77,3.961,8.71,2.0610278,6.25,-6,3,3
2024-12-17 17:53:38.287734,0x43590ff4,101,4.218,8.683333,2.1744168,,,,5
2024-12-17 17:54:23.254535,0x433b0b38,96,4.139,5.9566665,2.4553332,6.5,-17,5,5
2024-12-17 17:54:38.219991,0x43590ff4,101,4.209,10.94,2.1953611,,,,5
2024-12-17 17:55:38.301025,0x43590ff4,101,4.236,6.7100005,2.1791668,,,,5
2024-12-17 17:56:38.459239,0x43590ff4,101,4.213,4.44,2.13625,,,,5
2024-12-17 17:57:38.459266,0x43590ff4,101,4.254,4.44,2.1296668,,,,5
