datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 18:31:06.131964,0x433b0b38,96,4.139,8.38,2.672861,6.25,-17,5,5
2024-12-17 18:31:39.606904,0x43590ff4,101,4.227,8.558333,2.0668888,,,,5
2024-12-17 18:32:39.647009,0x43590ff4,101,4.222,6.6566668,2.0976944,,,,5
2024-12-17 18:33:39.763086,0x43590ff4,101,4.208,5.5616665,2.0976944,,,,5
2024-12-17 18:34:39.887112,0x43590ff4,101,4.247,8.38,2.0855832,,,,5
2024-12-17 18:35:39.886417,0x43590ff4,101,4.249,4.413333,2.0628057,,,,5
2024-12-17 18:36:24.643843,0x433b0b38,96,4.137,6.7100005,2.648639,6.25,-17,5,5
2024-12-17 18:36:40.000385,0x43590ff4,101,4.247,7.421666,2.055,,,5,5
2024-12-17 18:37:39.984320,0x43590ff4,101,4.258,5.1666665,2.0330555,,,,5
2024-12-17 18:38:40.125595,0x43590ff4,101,4.239,4.44,2.0209444,,,,5
2024-12-17 18:39:40.065436,0x43590ff4,101,4.207,6.136667,2.016389,,,,5
2024-12-17 18:40:40.140587,0x43590ff4,101,4.244,4.413333,1.9901389,,,,5
2024-12-17 18:41:40.183644,0x43590ff4,101,4.237,5.1666665,1.9593334,,,,5
2024-12-17 18:42:24.871138,0x433b0b38,97,4.16,9.91,2.725861,6.0,-19,5,5
2024-12-17 18:42:40.187541,0x43590ff4,101,4.208,8.91,1.9394166,,,,5
2024-12-17 18:42:41.510930,0x336918e8,101,4.241,8.91,1.8822778,6.25,-22,5,5
2024-12-17 18:43:40.471857,0x43590ff4,100,4.199,3.6866665,1.9624166,,,,5
2024-12-17 18:44:40.496756,0x43590ff4,101,4.23,9.08,2.012889,,,,5
2024-12-17 18:45:40.332828,0x43590ff4,101,4.233,5.9566665,2.0053332,,,,5
2024-12-17 18:46:40.414738,0x43590ff4,101,4.21,7.9566665,2.034111,,,,5
2024-12-17 18:47:00.679615,0x433aca0c,75,3.944,7.203333,1.7959167,6.25,-6,3,3
2024-12-17 18:47:40.536678,0x43590ff4,101,4.235,8.506667,2.0503056,,,,5
2024-12-17 18:48:25.160425,0x433b0b38,97,4.149,6.6566668,2.7786112,6.25,-19,5,5
2024-12-17 18:48:40.521808,0x43590ff4,101,4.249,7.5049996,2.0601387,,,,5
2024-12-17 18:49:40.694840,0x43590ff4,101,4.25,5.2883334,2.037139,,,,5
2024-12-17 18:50:40.537015,0x43590ff4,101,4.262,3.6866665,2.0250278,,,,5
2024-12-17 18:51:40.708913,0x43590ff4,101,4.224,3.6866665,2.0250278,,,,5
2024-12-17 18:52:40.929890,0x43590ff4,101,4.215,3.6866665,2.04925,,,,5
2024-12-17 18:53:40.924974,0x43590ff4,100,4.195,5.8766665,2.09375,,,,5
2024-12-17 18:54:25.347590,0x433b0b38,99,4.187,11.448334,2.8089724,6.75,-20,5,5
2024-12-17 18:54:41.207999,0x43590ff4,101,4.233,5.805,2.1101665,,,,5
2024-12-17 18:55:41.174152,0x43590ff4,101,4.22,3.6866665,2.1254444,,,,5
2024-12-17 18:56:41.412265,0x43590ff4,100,4.195,3.7133331,2.1441388,,,,5
2024-12-17 18:57:41.249090,0x43590ff4,101,4.243,6.6833334,2.1441388,,,,5
2024-12-17 18:58:41.488380,0x43590ff4,101,4.22,7.4100003,2.1121945,,,,5
2024-12-17 18:59:41.475148,0x43590ff4,101,4.245,6.2883334,2.1243057,,,,5
2024-12-17 19:00:26.229786,0x433b0b38,99,4.178,9.501667,2.8340833,7.0,-20,5,5
2024-12-17 19:00:41.507487,0x43590ff4,101,4.214,9.896667,2.130889,,,,5
2024-12-17 19:01:41.411207,0x43590ff4,101,4.216,4.413333,2.1430001,,,,5
2024-12-17 19:02:41.538428,0x43590ff4,101,4.221,2.9866667,2.1495833,,,,5
2024-12-17 19:03:41.530651,0x43590ff4,101,4.232,3.0133333,2.1495833,,,,5
2024-12-17 19:04:41.719717,0x43590ff4,101,4.205,6.8616667,2.1708057,,,,5
2024-12-17 19:05:04.242490,0x433aca0c,74,3.937,8.900001,1.76,6.5,-6,3,3
2024-12-17 19:05:41.591923,0x43590ff4,101,4.239,4.96,2.1950278,,,,5
2024-12-17 19:06:25.823332,0x433b0b38,97,4.157,6.6833334,2.8098612,7.25,-20,5,5
2024-12-17 19:06:41.755871,0x43590ff4,101,4.226,4.956667,2.1895,,,5,5
2024-12-17 19:07:41.909019,0x43590ff4,101,4.226,2.96,2.228111,,,,5
2024-12-17 19:08:41.927051,0x43590ff4,101,4.211,2.96,2.2710278,,,,5
2024-12-17 19:09:41.995094,0x43590ff4,101,4.208,7.778333,2.269,,,,5
2024-12-17 19:10:41.999059,0x43590ff4,101,4.209,9.106667,2.2710278,,,,5
2024-12-17 19:11:41.985282,0x43590ff4,101,4.203,7.383333,2.2952502,,,,5
2024-12-17 19:12:26.110666,0x433b0b38,94,4.106,6.6566668,2.6991668,7.25,-20,5,5
2024-12-17 19:12:42.137384,0x43590ff4,101,4.219,8.626667,2.3139446,,,,5
2024-12-17 19:13:42.032454,0x43590ff4,101,4.238,6.6566668,2.3447502,,,,5
2024-12-17 19:14:42.078431,0x43590ff4,101,4.222,7.778333,2.330611,,,,5
2024-12-17 19:15:42.114427,0x43590ff4,100,4.195,8.711667,2.332639,,,,5
2024-12-17 19:16:42.255613,0x43590ff4,101,4.23,4.081667,2.3755555,,,,5
2024-12-17 19:17:42.381534,0x43590ff4,101,4.243,4.835,2.356861,,,,5
2024-12-17 19:18:26.352284,0x433b0b38,99,4.188,6.6566668,2.68275,6.0,-20,5,5
2024-12-17 19:18:40.658631,0x336918e8,101,4.247,8.626667,1.9783056,6.5,-23,5,5
2024-12-17 19:18:42.433812,0x43590ff4,101,4.224,5.943333,2.3689723,,,,5
2024-12-17 19:19:42.302727,0x43590ff4,101,4.236,4.081667,2.3240278,,,,5
2024-12-17 19:20:42.418642,0x43590ff4,101,4.204,3.7133331,2.2952502,,,,5
2024-12-17 19:21:42.459876,0x43590ff4,101,4.242,7.383333,2.3260555,,,,5
2024-12-17 19:22:42.398813,0x43590ff4,101,4.23,9.831667,2.3548334,,,,5
2024-12-17 19:23:02.321610,0x433aca0c,74,3.932,7.9566665,1.7651945,6.0,-6,3,3
2024-12-17 19:23:42.548805,0x43590ff4,100,4.199,9.383333,2.385639,,,,5
2024-12-17 19:24:26.532494,0x433b0b38,99,4.188,7.4100003,2.6706388,7.0,-20,5,5
2024-12-17 19:24:42.559884,0x43590ff4,99,4.178,9.38,2.4141667,,,,5
2024-12-17 19:25:42.699931,0x43590ff4,100,4.193,9.201667,2.459111,,,,5
2024-12-17 19:26:42.560959,0x43590ff4,100,4.193,6.6833334,2.459111,,,,5
2024-12-17 19:27:42.748250,0x43590ff4,101,4.242,5.9300003,2.4712222,,,,5
2024-12-17 19:28:42.769977,0x43590ff4,101,4.233,6.7100005,2.5020278,,,,5
2024-12-17 19:29:42.695350,0x43590ff4,101,4.221,3.6866665,2.5,,,,5
2024-12-17 19:30:27.323779,0x433b0b38,97,4.157,9.08,2.6539721,7.0,-20,5,5
2024-12-17 19:30:42.851129,0x43590ff4,101,4.208,8.353333,2.5121112,,,,5
