datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 18:00:23.791122,0x433b0b38,98,4.17,7.653333,2.4893613,6.0,-18,5,5
2024-12-17 18:00:38.427700,0x43590ff4,101,4.241,8.653333,2.0585833,,,,5
2024-12-17 18:01:38.454569,0x43590ff4,101,4.241,6.6566668,2.0893888,,,,5
2024-12-17 18:02:38.621802,0x43590ff4,101,4.213,6.6566668,2.052,,,,5
2024-12-17 18:03:38.650818,0x43590ff4,101,4.243,6.6566668,2.0706944,,,,5
2024-12-17 18:04:38.764776,0x43590ff4,101,4.239,7.958333,2.0398889,,,,5
2024-12-17 18:05:38.615045,0x43590ff4,101,4.225,5.5616665,2.064111,,,,5
2024-12-17 18:06:23.996534,0x433b0b38,97,4.153,5.9300003,2.4774723,7.5,-16,5,5
