datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 20:35:05.648092,0x433b0b38,4.73625,-2.5,7.0,-20,5,5
2024-12-17 20:40:05.643267,0x433b0b38,4.69625,-2.5,7.5,-20,5,5
2024-12-17 20:45:07.686463,0x433b0b38,4.70125,-5.0,6.75,-20,5,5
2024-12-17 20:50:07.985393,0x433b0b38,4.73375,-3.75,7.0,-20,5,5
2024-12-17 20:55:09.675394,0x433b0b38,4.735,-5.0,6.75,-19,5,5
2024-12-17 21:00:12.370640,0x433b0b38,4.73375,-3.75,7.25,-19,5,5
2024-12-17 21:05:11.430638,0x433b0b38,4.7325,-1.25,6.5,-20,5,5
2024-12-17 21:10:13.359683,0x433b0b38,4.6975,-3.75,6.75,-20,5,5
