['2024-12-17 17:35:12.155752', {'0x433b0b38': 1}]
['2024-12-17 17:35:12.162028', {'0x433b0b38': 2}]
['2024-12-17 17:35:12.167408', {'0x433b0b38': 2, '0x336918e8': 1}]
['2024-12-17 17:35:12.172787', {'0x433b0b38': 2, '0x336918e8': 1, '0x433aca0c': 1}]
['2024-12-17 17:35:12.190402', {'0x433b0b38': 2, '0x336918e8': 1, '0x433aca0c': 2}]
['2024-12-17 17:35:12.218581', {'0x433b0b38': 3, '0x336918e8': 1, '0x433aca0c': 2}]
['2024-12-17 17:35:12.247214', {'0x433b0b38': 4, '0x336918e8': 1, '0x433aca0c': 2}]
['2024-12-17 17:35:12.277410', {'0x433b0b38': 5, '0x336918e8': 1, '0x433aca0c': 2}]
['2024-12-17 17:35:12.304634', {'0x433b0b38': 5, '0x336918e8': 2, '0x433aca0c': 2}]
['2024-12-17 17:35:12.332488', {'0x433b0b38': 5, '0x336918e8': 2, '0x433aca0c': 3}]
['2024-12-17 17:35:12.362820', {'0x433b0b38': 5, '0x336918e8': 2, '0x433aca0c': 4}]
['2024-12-17 17:35:22.422187', {'0x433b0b38': 6, '0x336918e8': 2, '0x433aca0c': 4}]
['2024-12-17 17:35:37.448943', {'0x433b0b38': 6, '0x336918e8': 2, '0x433aca0c': 4, '0x43590ff4': 1}]
['2024-12-17 17:35:40.938131', {'0x433b0b38': 7, '0x336918e8': 2, '0x433aca0c': 4, '0x43590ff4': 1}]
['2024-12-17 17:35:44.291960', {'0x433b0b38': 7, '0x336918e8': 3, '0x433aca0c': 4, '0x43590ff4': 1}]
['2024-12-17 17:35:48.099179', {'0x433b0b38': 7, '0x336918e8': 3, '0x433aca0c': 5, '0x43590ff4': 1}]
['2024-12-17 17:36:22.322337', {'0x433b0b38': 8, '0x336918e8': 3, '0x433aca0c': 5, '0x43590ff4': 1}]
['2024-12-17 17:36:22.857472', {'0x433b0b38': 9, '0x336918e8': 3, '0x433aca0c': 5, '0x43590ff4': 1}]
['2024-12-17 17:36:37.474872', {'0x433b0b38': 9, '0x336918e8': 3, '0x433aca0c': 5, '0x43590ff4': 2}]
['2024-12-17 17:36:43.998068', {'0x433b0b38': 10, '0x336918e8': 3, '0x433aca0c': 5, '0x43590ff4': 2}]
['2024-12-17 17:36:45.683194', {'0x433b0b38': 10, '0x336918e8': 4, '0x433aca0c': 5, '0x43590ff4': 2}]
['2024-12-17 17:36:49.955315', {'0x433b0b38': 10, '0x336918e8': 4, '0x433aca0c': 6, '0x43590ff4': 2}]
