datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 19:31:50.369596,0x433b0b38,26.959045,34.169895,1022.34,156.24046,60,,,7.25,-19,5,5
2024-12-17 19:32:50.647437,0x433b0b38,26.971903,34.153194,1022.3438,155.67043,59,,,7.25,-20,5,5
2024-12-17 19:33:50.237575,0x433b0b38,26.974476,34.153748,1022.3466,156.95892,54,,,7.25,-19,5,5
2024-12-17 19:34:50.468801,0x433b0b38,26.995045,34.127796,1022.34357,155.52855,58,,,7.25,-19,5,5
2024-12-17 19:35:52.074696,0x433b0b38,27.00276,34.086876,1022.3588,157.39317,61,,,6.75,-20,5,5
2024-12-17 19:36:51.130776,0x433b0b38,26.982151,34.099907,1022.355,157.68402,56,,,7.25,-20,5,5
2024-12-17 19:37:51.162964,0x433b0b38,26.96676,34.13389,1022.35504,157.68402,52,,,7.5,-20,5,5
2024-12-17 19:38:52.568767,0x433b0b38,26.969334,34.130894,1022.35126,155.67043,58,,,6.25,-20,5,5
2024-12-17 19:39:51.644680,0x433b0b38,26.956476,34.136837,1022.3306,156.24046,61,,,7.0,-20,5,5
2024-12-17 19:40:22.506678,0x433aca0c,28.060862,31.318981,1022.8226,245.6791,68,,,6.25,-6,3,3
2024-12-17 19:40:52.519726,0x433b0b38,26.938477,34.129906,1022.3413,157.68402,57,,,7.25,-20,5,5
2024-12-17 19:41:51.663844,0x433b0b38,26.951334,34.101337,1022.3166,157.82985,53,,,7.25,-20,5,5
2024-12-17 19:42:51.683904,0x433b0b38,26.951334,34.101025,1022.3083,156.38362,53,,,6.25,-20,5,5
2024-12-17 19:43:51.733964,0x433b0b38,26.96676,34.08603,1022.3468,155.81253,58,,,6.5,-20,5,5
2024-12-17 19:44:51.774964,0x433b0b38,26.951334,34.083057,1022.3317,156.67075,65,,,7.0,-19,5,5
2024-12-17 19:45:51.746898,0x433b0b38,26.961618,34.06502,1022.34625,158.56302,57,,,7.0,-19,5,5
2024-12-17 19:46:52.244883,0x433b0b38,26.953903,34.05806,1022.3076,154.4029,63,,,7.0,-19,5,5
2024-12-17 19:47:51.799844,0x433b0b38,26.925621,34.09288,1022.27374,158.41585,52,,,6.5,-20,5,5
2024-12-17 19:48:51.962942,0x433b0b38,26.912764,34.118206,1022.27325,154.8231,67,,,6.75,-20,5,5
2024-12-17 19:49:51.877924,0x433b0b38,26.915337,34.123028,1022.2492,155.38695,61,,,7.25,-20,5,5
2024-12-17 19:50:51.856913,0x433b0b38,26.910194,34.086674,1022.2419,155.67043,65,,,7.25,-20,5,5
2024-12-17 19:51:51.872986,0x433b0b38,26.907621,34.082245,1022.2409,156.38362,59,,,7.5,-21,5,5
2024-12-17 19:52:52.662140,0x433b0b38,26.915337,34.04855,1022.23914,154.54271,69,,,6.25,-20,5,5
2024-12-17 19:53:51.899958,0x433b0b38,26.917908,34.047215,1022.24524,159.30304,55,,,7.5,-20,5,5
