datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 18:24:43.249124,0x433b0b38,,,,,,,6.5,-18,5,5
2024-12-17 18:24:43.262463,0x336918e8,,,,,,,6.5,-24,5,5
2024-12-17 18:24:43.267631,0x433aca0c,,,,,,,6.25,-5,3,3
2024-12-17 18:24:43.340710,0x433b0b38,,,,,,,6.25,-19,5,5
2024-12-17 18:24:53.435823,0x336918e8,,,,,,,7.25,-23,5,5
2024-12-17 18:24:57.314963,0x433aca0c,,,,,,,7.75,-5,3,3
2024-12-17 18:25:34.458273,0x433b0b38,,,,,,,6.0,-19,5,5
2024-12-17 18:25:53.608833,0x336918e8,,,,,,,6.5,-24,5,5
2024-12-17 18:25:57.565895,0x433aca0c,,,,,,,6.25,-4,3,3
2024-12-17 18:26:34.748352,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 18:26:53.645777,0x336918e8,,,,,,,5.75,-24,5,5
2024-12-17 18:27:00.428082,0x433aca0c,,,,,,,6.5,-5,3,3
2024-12-17 18:27:34.932131,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 18:27:54.183969,0x336918e8,,,,,,,6.25,-24,5,5
2024-12-17 18:27:58.234045,0x433aca0c,,,,,,,7.0,-5,3,3
2024-12-17 18:28:34.635500,0x433b0b38,,,,,,,6.25,-18,5,5
2024-12-17 18:28:54.012219,0x336918e8,,,,,,,6.25,-24,5,5
2024-12-17 18:28:58.299357,0x433aca0c,,,,,,,7.5,-6,3,3
