datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 16:52:31.300403,0x433b0b38,4.725,-5.0,6.25,-18,5,5
2024-12-17 16:52:31.924437,0x433b0b38,4.68875,-3.75,6.25,-18,5,5
2024-12-17 16:54:13.896683,0x433b0b38,4.725,-3.75,6.75,-19,5,5
2024-12-17 16:59:14.853767,0x433b0b38,4.69375,-2.5,6.5,-17,5,5
2024-12-17 17:04:15.739867,0x433b0b38,4.6925,-3.75,5.75,-19,5,5
2024-12-17 17:09:17.491127,0x433b0b38,4.72875,-3.75,6.0,-19,5,5
2024-12-17 17:14:17.552158,0x433b0b38,4.73,-5.0,6.25,-19,5,5
2024-12-17 17:19:19.196164,0x433b0b38,4.6975,-3.75,6.5,-18,5,5
