datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 19:31:42.881153,0x43590ff4,101,4.232,2.9866667,2.5,,,,5
2024-12-17 19:32:42.805239,0x43590ff4,101,4.204,4.1349998,2.4878888,,,,5
2024-12-17 19:33:42.846205,0x43590ff4,101,4.219,7.778333,2.5429168,,,,5
2024-12-17 19:34:43.047472,0x43590ff4,101,4.219,6.6566668,2.5429168,,,,5
2024-12-17 19:35:42.948411,0x43590ff4,101,4.219,10.201667,2.5999722,,,,5
2024-12-17 19:36:27.008831,0x433b0b38,99,4.177,7.4366665,2.6781945,6.75,-20,5,5
2024-12-17 19:36:43.109257,0x43590ff4,101,4.219,9.406667,2.5812778,,,5,5
2024-12-17 19:37:43.343501,0x43590ff4,101,4.219,7.6566668,2.564861,,,,5
2024-12-17 19:38:43.229346,0x43590ff4,101,4.23,6.6566668,2.5527499,,,,5
2024-12-17 19:39:43.222362,0x43590ff4,101,4.204,6.6566668,2.5835555,,,,5
2024-12-17 19:40:43.286351,0x43590ff4,101,4.214,11.981667,2.5714445,,,,5
2024-12-17 19:41:02.555087,0x433aca0c,74,3.937,6.45,1.7150555,6.75,-6,3,3
2024-12-17 19:41:43.452419,0x43590ff4,101,4.207,8.628333,2.6184444,,,,5
2024-12-17 19:42:27.245953,0x433b0b38,99,4.178,6.6833334,2.694861,6.75,-20,5,5
2024-12-17 19:42:43.527464,0x43590ff4,101,4.248,8.653333,2.6063335,,,,5
2024-12-17 19:43:43.480297,0x43590ff4,101,4.222,6.6566668,2.5977223,,,,5
2024-12-17 19:44:43.591434,0x43590ff4,101,4.249,5.535,2.5977223,,,,5
2024-12-17 19:45:43.633405,0x43590ff4,101,4.24,6.383333,2.579028,,,,5
2024-12-17 19:46:43.684393,0x43590ff4,101,4.24,6.6566668,2.6340556,,,,5
2024-12-17 19:47:43.576576,0x43590ff4,101,4.22,8.136666,2.5890832,,,,5
2024-12-17 19:48:27.479936,0x433b0b38,97,4.156,7.778333,2.6905556,7.0,-19,5,5
2024-12-17 19:48:43.757488,0x43590ff4,101,4.215,9.748334,2.5956666,,,,5
2024-12-17 19:49:43.687612,0x43590ff4,101,4.214,6.6566668,2.6100554,,,,5
2024-12-17 19:50:43.728590,0x43590ff4,101,4.246,9.201667,2.6100554,,,,5
2024-12-17 19:51:43.896602,0x43590ff4,99,4.183,7.383333,2.62875,,,,5
2024-12-17 19:52:43.769682,0x43590ff4,99,4.189,6.6833334,2.6045277,,,,5
2024-12-17 19:53:43.867666,0x43590ff4,101,4.233,7.4100003,2.5737221,,,,5
2024-12-17 19:54:27.833108,0x433b0b38,100,4.194,7.4100003,2.708639,6.75,-20,5,5
