datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 13:37:27.172140,0x433b0b38,,,,,,,6.5,5,-14,5
2024-12-17 13:37:38.983854,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 13:38:00.492465,0x336918e8,,,,,,,6.75,5,-19,5
2024-12-17 13:38:27.453413,0x433b0b38,,,,,,,6.25,5,-15,5
2024-12-17 13:38:39.561667,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 13:39:00.673421,0x336918e8,,,,,,,6.75,5,-19,5
2024-12-17 13:39:28.132407,0x433b0b38,,,,,,,6.75,5,-14,5
2024-12-17 13:39:39.704012,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 13:40:00.930608,0x336918e8,,,,,,,6.5,5,-20,5
2024-12-17 13:40:27.920455,0x433b0b38,,,,,,,7.0,5,-13,5
2024-12-17 13:40:39.927745,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 13:41:01.035527,0x336918e8,,,,,,,6.25,5,-20,5
2024-12-17 13:41:28.142467,0x433b0b38,,,,,,,6.25,5,-13,5
2024-12-17 13:41:39.693855,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 13:42:01.293592,0x336918e8,,,,,,,6.25,5,-22,5
2024-12-17 13:42:28.331650,0x433b0b38,,,,,,,7.0,5,-14,5
2024-12-17 13:42:40.142877,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 13:43:01.473579,0x336918e8,,,,,,,6.5,5,-21,5
2024-12-17 13:43:29.761568,0x433b0b38,,,,,,,7.0,5,-15,5
2024-12-17 13:43:40.059985,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 13:44:01.578672,0x336918e8,,,,,,,6.25,5,-21,5
2024-12-17 13:44:28.799507,0x433b0b38,,,,,,,6.0,5,-13,5
2024-12-17 13:44:40.661915,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 13:45:01.652666,0x336918e8,,,,,,,6.0,5,-22,5
