datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 18:24:43.256048,0x433b0b38,27.29823,34.354942,1022.43,151.92879,62,,,6.0,-18,5,5
2024-12-17 18:24:43.370505,0x433b0b38,27.301176,34.34704,1022.44617,152.74463,61,,,6.25,-18,5,5
2024-12-17 18:25:41.744517,0x433b0b38,27.290478,34.35718,1022.43677,152.06416,62,,,6.25,-19,5,5
2024-12-17 18:26:41.538621,0x433b0b38,27.27297,34.36439,1022.4425,151.52412,61,,,6.0,-18,5,5
2024-12-17 18:27:41.542756,0x433b0b38,27.24673,34.39514,1022.4181,152.47171,61,,,5.75,-18,5,5
2024-12-17 18:28:21.571177,0x433aca0c,27.80087,32.823967,1022.92426,232.21771,89,,,6.25,-5,3,3
2024-12-17 18:28:41.517008,0x433b0b38,27.211298,34.44943,1022.3724,150.05861,78,,,6.0,-18,5,5
