datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 03:36:50.314025,0x43590ff4,101,4.227,,0.050888892,,5,,
2024-12-17 03:37:50.363137,0x43590ff4,101,4.208,,0.050888892,,5,,
2024-12-17 03:38:50.417127,0x43590ff4,101,4.222,,0.050888892,,5,,
2024-12-17 03:39:50.478320,0x43590ff4,101,4.224,,0.050888892,,5,,
2024-12-17 03:40:50.538181,0x43590ff4,100,4.196,,0.050888892,,5,,
2024-12-17 03:41:50.598191,0x43590ff4,101,4.23,,0.050888892,,5,,
2024-12-17 03:42:50.660375,0x43590ff4,101,4.227,,0.050888892,,5,,
2024-12-17 03:43:50.712339,0x43590ff4,101,4.22,,0.050888892,,5,,
2024-12-17 03:44:50.558515,0x43590ff4,101,4.259,,0.050888892,,5,,
2024-12-17 03:45:50.606480,0x43590ff4,101,4.247,,0.050888892,,5,,
2024-12-17 03:46:50.663368,0x43590ff4,101,4.214,,0.050888892,,5,,
2024-12-17 03:47:50.720513,0x43590ff4,101,4.202,,0.050888892,,5,,
2024-12-17 03:48:50.772478,0x43590ff4,100,4.197,,0.050888892,,5,,
2024-12-17 03:49:50.831512,0x43590ff4,101,4.214,,0.050888892,,5,,
2024-12-17 03:50:50.880605,0x43590ff4,101,4.228,,0.050888892,,5,,
2024-12-17 03:51:50.933691,0x43590ff4,100,4.197,,0.050888892,,5,,
2024-12-17 03:52:50.982832,0x43590ff4,101,4.207,,0.050888892,,5,,
2024-12-17 03:53:51.056669,0x43590ff4,100,4.194,,0.050888892,,5,,
2024-12-17 03:54:51.109722,0x43590ff4,101,4.202,,0.050888892,,5,,
2024-12-17 03:55:51.162779,0x43590ff4,101,4.239,,0.050888892,,5,,
2024-12-17 03:56:51.218799,0x43590ff4,101,4.219,,0.050888892,,5,,
2024-12-17 03:57:51.283666,0x43590ff4,101,4.201,,0.050888892,,5,,
2024-12-17 03:58:51.333900,0x43590ff4,101,4.245,,0.031055557,,5,,
2024-12-17 03:59:51.169806,0x43590ff4,101,4.239,,0.031055557,,5,,
2024-12-17 04:00:51.231964,0x43590ff4,100,4.193,,0.031055557,,5,,
2024-12-17 04:01:51.272909,0x43590ff4,100,4.195,,0.031055557,,5,,
2024-12-17 04:02:51.343972,0x43590ff4,101,4.222,,0.031055557,,5,,
2024-12-17 04:03:51.389041,0x43590ff4,101,4.225,,0.031055557,,5,,
2024-12-17 04:04:51.442930,0x43590ff4,100,4.198,,0.031055557,,5,,
2024-12-17 04:05:51.554938,0x43590ff4,101,4.218,,0.015527778,,5,,5
2024-12-17 04:06:51.608955,0x43590ff4,101,4.215,0.9316667,0.031055557,,5,,
2024-12-17 04:07:51.665116,0x43590ff4,101,4.213,,0.031055557,,5,,
2024-12-17 04:08:51.714107,0x43590ff4,101,4.229,,0.031055557,,5,,
2024-12-17 04:09:51.768247,0x43590ff4,101,4.254,,0.031055557,,5,,
2024-12-17 04:10:51.820045,0x43590ff4,101,4.215,,0.031055557,,5,,
2024-12-17 04:11:51.879359,0x43590ff4,101,4.219,,0.031055557,,5,,
2024-12-17 04:12:51.932280,0x43590ff4,101,4.234,,0.031055557,,5,,
2024-12-17 04:13:51.983531,0x43590ff4,101,4.249,,0.031055557,,5,,
2024-12-17 04:14:52.040906,0x43590ff4,101,4.259,,0.031055557,,5,,
2024-12-17 04:15:52.112264,0x43590ff4,101,4.231,,0.031055557,,5,,
2024-12-17 04:16:52.166870,0x43590ff4,101,4.217,,0.031055557,,5,,
2024-12-17 04:17:52.218939,0x43590ff4,101,4.219,,0.031055557,,5,,
2024-12-17 04:18:52.077546,0x43590ff4,101,4.23,,0.031055557,,5,,
2024-12-17 04:19:52.127572,0x43590ff4,101,4.257,,0.031055557,,5,,
2024-12-17 04:20:52.179763,0x43590ff4,101,4.219,,0.031055557,,5,,
2024-12-17 04:21:52.226189,0x43590ff4,101,4.235,,0.031055557,,5,,
2024-12-17 04:22:52.287303,0x43590ff4,100,4.193,,0.031055557,,5,,
2024-12-17 04:23:52.333505,0x43590ff4,101,4.203,,0.031055557,,5,,
2024-12-17 04:24:52.387791,0x43590ff4,100,4.196,,0.031055557,,5,,
2024-12-17 04:25:52.459843,0x43590ff4,101,4.226,,0.031055557,,5,,
2024-12-17 04:26:52.508930,0x43590ff4,101,4.238,,0.031055557,,5,,
2024-12-17 04:27:52.559197,0x43590ff4,101,4.219,,0.031055557,,5,,
2024-12-17 04:28:52.624367,0x43590ff4,101,4.221,,0.031055557,,5,,
2024-12-17 04:29:52.683587,0x43590ff4,101,4.228,,0.031055557,,5,,
2024-12-17 04:30:52.738580,0x43590ff4,101,4.202,,0.031055557,,5,,
2024-12-17 04:31:52.791666,0x43590ff4,101,4.254,,0.031055557,,5,,
2024-12-17 04:32:52.854855,0x43590ff4,101,4.241,,0.031055557,,5,,
2024-12-17 04:33:52.690985,0x43590ff4,101,4.218,,0.031055557,,5,,
2024-12-17 04:34:52.764165,0x43590ff4,101,4.218,,0.031055557,,5,,
2024-12-17 04:35:52.914214,0x43590ff4,101,4.24,,0.031055557,,5,,5
