datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 09:37:55.831042,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:38:55.655439,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:39:55.934402,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:40:56.372516,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:41:56.287700,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:42:56.378855,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 09:43:56.558914,0x433aca0c,,,,,,,6.5,3,-7,3
2024-12-17 09:44:57.011859,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:45:57.087915,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:46:57.123031,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 09:47:57.284172,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:48:57.477455,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:49:57.991481,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 09:50:57.923469,0x433aca0c,,,,,,,6.5,3,-7,3
2024-12-17 09:51:58.019384,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:52:58.354636,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 09:53:58.377685,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:54:58.639604,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:55:58.827843,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 09:56:58.919658,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:57:59.181684,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 09:58:59.361527,0x433aca0c,,,,,,,6.5,3,-7,3
2024-12-17 09:59:59.551603,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:00:59.643665,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:02:59.995524,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 10:04:00.266622,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:05:00.560480,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 10:06:00.726654,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 10:07:00.718539,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:08:01.073669,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:09:01.247621,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:10:01.262659,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:11:01.443649,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:12:01.712668,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 10:13:01.804792,0x433aca0c,,,,,,,6.25,3,-8,3
2024-12-17 10:14:01.985905,0x433aca0c,,,,,,,6.75,3,-6,3
2024-12-17 10:15:02.254023,0x433aca0c,,,,,,,6.5,3,-5,3
2024-12-17 10:16:02.436917,0x433aca0c,,,,,,,6.75,3,-6,3
2024-12-17 10:17:02.625972,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:18:03.065060,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:19:03.077352,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:20:03.111191,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:21:03.349191,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 10:22:03.522498,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:23:03.710579,0x433aca0c,,,,,,,6.5,3,-7,3
2024-12-17 10:24:03.806398,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 10:25:03.984268,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:26:04.321509,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 10:27:04.357587,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 10:28:04.627615,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:29:04.816691,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 10:30:04.899363,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:31:05.110042,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 10:32:05.722700,0x433aca0c,,,,,,,6.75,3,-6,3
2024-12-17 10:33:05.449371,0x433aca0c,,,,,,,6.5,3,-5,3
2024-12-17 10:34:05.621392,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 10:35:05.815028,0x433aca0c,,,,,,,6.75,3,-6,3
2024-12-17 10:36:06.512888,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 10:37:06.253562,0x433aca0c,,,,,,,6.25,3,-6,3
