datetime,fromNode,ch3Voltage,ch3Current,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 12:53:26.391385,0x433b0b38,4.6225,-2.5,6.0,5,-16,5
2024-12-17 12:58:26.587115,0x433b0b38,4.685,-5.0,6.5,5,-14,5
2024-12-17 13:03:26.706440,0x433b0b38,4.68875,-2.5,6.0,5,-16,5
2024-12-17 13:08:27.045402,0x433b0b38,4.6925,-3.75,6.75,5,-14,5
2024-12-17 13:13:27.197510,0x433b0b38,4.70375,-3.75,6.0,5,-13,5
2024-12-17 13:18:28.246561,0x433b0b38,4.71,-3.75,6.5,5,-15,5
2024-12-17 13:23:27.842075,0x433b0b38,4.71,-1.25,7.75,5,-14,5
2024-12-17 13:28:28.145736,0x433b0b38,4.71625,-3.75,6.25,5,-13,5
2024-12-17 13:33:28.340022,0x433b0b38,4.71375,-3.75,5.75,5,-13,5
