datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 11:37:17.078804,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:38:17.261132,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:39:17.704463,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:40:17.643688,0x433aca0c,,,,,,,5.75,3,-6,3
2024-12-17 11:41:18.266834,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:42:18.110823,0x433aca0c,,,,,,,5.75,3,-6,3
2024-12-17 11:43:18.206206,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:44:18.352451,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:45:18.541687,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:46:18.729621,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:47:19.167734,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 11:48:19.079031,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:49:19.348850,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:50:19.546069,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 11:51:19.790994,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:52:19.903110,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:53:20.000251,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:54:20.259364,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:55:20.543319,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:56:20.547447,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 11:57:20.912614,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:58:21.063539,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 11:59:21.087625,0x433aca0c,,,,,,,6.5,3,-7,3
2024-12-17 12:00:21.269624,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 12:01:21.454740,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:02:21.713701,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:03:21.815695,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:04:22.024804,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 12:05:22.178971,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:06:23.707097,0x433aca0c,,,,,,,6.25,3,-5,3
2024-12-17 12:07:22.642769,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:08:22.823946,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 12:09:22.926191,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:10:23.370128,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:11:23.378131,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:12:23.810337,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:13:23.741125,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 12:14:23.827373,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:15:24.204399,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 12:16:24.279458,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:17:24.537579,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:18:24.650555,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:19:24.771765,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 12:20:24.917850,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:21:25.264706,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:22:25.542861,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 12:23:25.551696,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:24:26.104900,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:25:25.926796,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:26:26.285844,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:27:26.280018,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:28:26.545906,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:29:26.727279,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 12:30:26.747935,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:31:27.340082,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 12:32:27.265121,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 12:33:27.477961,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 12:34:27.734373,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 12:35:27.938247,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 12:36:27.863379,0x433aca0c,,,,,,,6.5,3,-5,3
