2025-04-28 17:08:16,2976,447,261.5625
2025-04-28 17:08:36,2976,447,261.5625
2025-04-28 17:08:57,4065,372,357.275390625
2025-04-28 17:09:17,1279,315,112.412109375
2025-04-28 17:09:37,1279,317,112.412109375
2025-04-28 17:09:57,1278,317,112.32421875
2025-04-28 17:10:17,1274,317,111.97265625
2025-04-28 17:10:37,1275,317,112.060546875
2025-04-28 17:10:57,1274,316,111.97265625
2025-04-28 17:13:55,1256,320,110.390625
2025-04-28 17:14:15,1256,319,110.390625
2025-04-28 17:14:35,1256,318,110.390625
2025-04-28 17:15:27,1257,319,110.478515625
2025-04-28 17:15:47,1257,318,110.478515625
2025-04-28 17:16:07,1359,317,119.443359375
2025-04-28 17:16:27,1359,316,119.443359375
2025-04-28 17:16:47,1358,316,119.35546875
2025-04-28 17:17:07,1358,316,119.35546875
2025-04-28 17:17:54,1357,316,119.267578125
